ランク,スコア,会社名,市町村,業種,電話,代表者名※要検証,設立年※要検証,社歴,承継期,周年間近,手紙の型,求人出稿,SNS,メール,HP,法人番号,要クリーンアップ,注意,取得元
A,6,とまとハウジング,浦添市,不動産・建設,098-876-7380,川端ゆかり,1999,27,False,False,B 周年期,True,True,,https://www.tomato-okinawa.com/,6360002016449,,,centercall
A,6,（有）オーエン,糸満市,不動産・建設,0078-60159-781783,,2000,26,False,False,B 周年期,True,True,contact@oen-itoman.com,https://goohome.jp/fudousan/realtor/273/,4360002008927,代表者名なし,,ceremony
A,6,(有)金城建設,糸満市,不動産・建設,098-994-8567,,2002,24,False,True,B 周年期,True,True,,https://kinjoukensetsu.com/,,法人番号なし / 代表者名なし,,ceremony
A,6,有限会社リケンオキナワ,那覇市,不動産・建設,098-941-5650,,2004,22,False,False,B 周年期,True,True,info@rikenokinawa.co.jp,http://rikenokinawa.co.jp/,1360002008120,代表者名なし,,ceremony
A,6,(株) ホーム２１,那覇市,不動産・建設,098-833-8855,,2004,22,False,False,B 周年期,True,True,info@home21.co.jp,https://home21.co.jp/,2360001002610,代表者名なし,,ceremony
A,6,(株) LINK'S,那覇市,リフォーム会社,098-988-8071,横山 純,2005,21,False,False,B 周年期,True,False,,https://links-kk-okinawa.jp/,,法人番号なし,,indeedhack
A,6,大京穴吹不動産沖縄賃貸営業課,那覇市,不動産・建設,098-867-7400,,2006,20,False,True,B 周年期,True,True,,https://www.daikyo-anabuki.co.jp/office/okinawa_chintai/,,法人番号なし / 代表者名なし,,centercall
A,6,ピタットハウス 那覇店,那覇市,不動産・建設,098-866-9310,（運営：株式会社ティー・オー・エス）,2006,20,False,True,B 周年期,False,False,,https://www.pitat.com/shopDetail/naha.html,,法人番号なし,,ceremony
A,6,株式会社エン・エンタープライズ,那覇市,不動産・建設,098-988-8880,,2008,18,False,False,B 周年期,True,False,,https://www.yenn.jp/,1360001010606,代表者名なし,,ceremony
A,6,琉球ストーク(株),那覇市,リフォーム会社,098-863-8643,川口 幸治,2009,17,False,False,B 周年期,True,True,,https://mokuzookinawa.com/,4360001011213,,,centercall
A,6,シティホテルズ＆リゾーツ (株式会社シティホテルズ＆リゾーツ),那覇市,不動産・建設,098-868-1122,,2011,15,False,True,B 周年期,False,False,,https://city-homes-okinawa.jp/,2360001033119,代表者名なし,,ceremony
A,6,GLC株式会社 沖縄支社,那覇市,不動産・建設,098-894-5041,,2012,14,False,True,B 周年期,True,True,,https://www.goodlife-c.jp/,,法人番号なし / 代表者名なし,,ceremony
A,6,株式会社モダンプロジェ 沖縄ログ店（沖縄オフィス）,那覇市,不動産・建設,098-869-8622,,2012,14,False,True,B 周年期,True,True,,https://modern-projet.com/,,法人番号なし / 代表者名なし,,ceremony
A,6,ハウスドゥ サンパーク通り浦添,浦添市,不動産・建設,098-876-5454,（運営：株式会社サン・リフォーム）,2013,13,False,False,B 周年期,True,False,,https://sunparkdoriurasoe-housedo.com/,,法人番号なし,,ceremony
A,6,リライト株式会社,那覇市,リフォーム会社,098-996-2033,,2013,13,False,False,B 周年期,True,False,,http://relight-co.jp/,9360001028211,代表者名なし,,ceremony
A,6,株式会社ライアホーム,浦添市,不動産・建設,098-963-9444,大城 健,2014,12,False,False,B 周年期,True,True,,https://www.raia-home.com/,4360001033348,,,ceremony
A,6,（株）ＫＯＴＥＴＳＵ,那覇市,不動産・建設,098-987-1775,,2014,12,False,False,B 周年期,True,False,,https://kotetsuokinawa.wixsite.com/kotetsu,1360001018211,代表者名なし,,ceremony
A,6,エルビーハウジング （ＬＢハウジング株式会社）,那覇市,不動産・建設,050-5469-5664,,2016,10,False,True,B 周年期,False,False,,https://www.e-uchina.net/fudosan_kaisha/7304,1360001022386,代表者名なし,,ceremony
A,6,株式会社成家,那覇市,不動産・建設,098-860-2139,,2017,9,False,True,B 周年期,True,True,,https://www.sumaino-seika.com/,,法人番号なし / 代表者名なし,,indeedhack
A,6,（株）ＺＵＭＩホーム,那覇市,リフォーム会社,0078-60159-520621,池間 貞浩,2018,8,False,False,B 周年期,True,True,,https://goohome.jp/fudousan/realtor/1386/,8360001024434,,,centercall
A,6,株式会社 新喜,沖縄市,リフォーム会社,098-953-1849,喜屋武 文也,2019,7,False,False,B 周年期,True,True,,https://www.okinawa-shinki.com/,5360001033009,,,ceremony
A,6,(株)さち屋／マチナトベース／スチールアーチ沖縄,浦添市,リフォーム会社,090-2969-8882,大城祥太,2020,6,False,False,B 周年期,True,True,info@sa-chi-ya.com,https://ww.sa-chi-ya.com/%E3%83%9B%E3%83%BC%E3%83%A0,,法人番号なし,,centercall
A,6,株式会社アルファ・リノ,那覇市,リフォーム会社,090-9786-0153,屋嘉部 将弥,2020,6,False,False,B 周年期,True,True,,https://www.alpha-renovation.com/,3360001027656,,,centercall
A,6,株式会社CLAX 那覇オフィス,那覇市,不動産・建設,098-963-6240,,2021,5,False,True,B 周年期,True,True,,https://okinawa.clax.co.jp/,,法人番号なし / 代表者名なし,,ceremony
A,6,(株)KAFLIX CLOUD,那覇市,IT・メディア,098-963-7120,辛 正民,2022,4,False,True,B 周年期,True,True,,,7360001030788,,,indeedhack
A,6,株式会社NST,浦添市,リフォーム会社,080-6460-2002,,,,False,False,B 周年期,True,False,,https://sites.google.com/view/ni-ssyou-trust-nst/%E3%83%9B%E3%83%BC%E3%83%A0,1360001030703,代表者名なし / 創業年なし,,centercall
A,6,(有)第一リフォーム沖縄,那覇市,リフォーム会社,098-836-5685,友寄 隆治,,,False,False,B 周年期,True,True,,https://www.dai1reform.com/,6360001036976,創業年なし,,centercall
A,6,（有）ワイドハウジング,那覇市,リフォーム会社,0078-60159-082716,,,,False,False,B 周年期,True,False,,https://goohome.jp/fudousan/realtor/122/,7360002004865,代表者名なし / 創業年なし,,ceremony
A,6,（株）松樹 コザ支店,沖縄市,リフォーム会社,098-983-8800,,,,False,False,B 周年期,True,False,,https://www.e-uchina.net/fudosan_kaisha/5633,1360001009193,代表者名なし / 創業年なし,,ceremony
A,6,株式会社 大成ホーム,浦添市,リフォーム会社,098-877-7756,,,,False,False,B 周年期,True,False,,https://www.taiseihome.jp/corp/,1360001008922,代表者名なし / 創業年なし,,indeedhack
A,6,株式会社 日虹,浦添市,リフォーム会社,098-988-1825,,,,False,False,B 周年期,True,False,,http://teamnikko2525.com/,6360001034369,代表者名なし / 創業年なし,,indeedhack
A,6,株式会社眞住,那覇市,リフォーム会社,098-863-7007,谷津 敬介,,,False,False,B 周年期,True,True,,https://masumi-okinawa.jp/?utm_source=GBP&utm_medium=GBP&utm_term=GBP&utm_content=GBP&utm_campaign=GBP,6360001033692,創業年なし,,centercall
A,6,（株）ジョイントハウス,那覇市,不動産・建設,098-868-9393,仲里 司,,,False,False,B 周年期,True,True,,http://www.jointhouse.co.jp/,1360001001084,創業年なし,,centercall
A,6,(有)アクシス,那覇市,リフォーム会社,098-951-3792,,,,False,False,B 周年期,True,False,,http://www.axis-naha.com/,1360002005456,代表者名なし / 創業年なし,,indeedhack
A,6,株式会社 沖令リフォーム,那覇市,リフォーム会社,098-863-8356,,,,False,False,B 周年期,True,False,,,6360001026218,代表者名なし / 創業年なし,,ceremony
A,6,株式会社ライフワークス,沖縄市,リフォーム会社,098-943-2904,,,,False,False,B 周年期,True,True,info@lw-okinawa.co.jp,https://www.lw-okinawa.co.jp/,6360001020815,代表者名なし / 創業年なし,,centercall
A,6,(株) T.L.Cサービス,那覇市,リフォーム会社,098-864-2448,国吉 智明,,,False,False,B 周年期,True,True,,https://www.tlc-service.com/,6360001016193,創業年なし,,indeedhack
A,6,合同会社 和田工業,那覇市,リフォーム会社,090-5947-4636,,,,False,False,B 周年期,True,False,,https://kaisharesearch.com/,2340002000177,代表者名なし / 創業年なし,,ceremony
A,6,スタイルホープ,浦添市,リフォーム会社,098-952-6578,山口純希,,,False,False,B 周年期,True,True,,https://stylehope.jp/,8360001029441,創業年なし,,indeedhack
A,6,合同会社MEKARU,浦添市,リフォーム会社,098-877-3399,,,,False,False,B 周年期,True,False,,https://www.mekaru.llc/,2360003008754,代表者名なし / 創業年なし,,centercall
A,6,那覇新都心（株）,那覇市,不動産・建設,098-869-2551,大嶺 隆,,,False,False,B 周年期,True,True,,http://www.nahashintoshin.co.jp/,3360001001611,創業年なし,,indeedhack
A,6,（株）金城キク建設,那覇市,リフォーム会社,098-863-6930,,,,False,False,B 周年期,True,False,,https://www.kikukensetu.jp/,3360001004779,代表者名なし / 創業年なし,,ceremony
A,6,株式会社ニッセンホーム,浦添市,不動産・建設,050-1871-1428,比嘉 健悟,,,False,False,B 周年期,True,True,,https://nissen657954.studio.site/,5360001033198,創業年なし,,centercall
A,6,有限会社 かりー沖縄,那覇市,リフォーム会社,090-4980-8834,,,,False,False,B 周年期,True,False,,https://kari-okinawa.net/,8360002008790,代表者名なし / 創業年なし,,ceremony
A,6,（有）沖縄タカラ住設,浦添市,リフォーム会社,098-877-1314,,,,False,False,B 周年期,True,False,,http://www.otj.co.jp/company/,8360002015201,代表者名なし / 創業年なし,,centercall
A,6,國幸興發株式会社,那覇市,塗装会社,098-861-3777,,,,False,False,B 周年期,True,False,,http://kunisachi.jp/,9360001000830,代表者名なし / 創業年なし,,ceremony
A,6,ティ・マックス不動産,那覇市,不動産・建設,098-860-4340,砂川 智哉,,,False,False,B 周年期,True,True,t-max@gol.com,http://www.tmax-okinawa.com/,,法人番号なし / 創業年なし,,indeedhack
A,6,株式会社上地商店,宜野湾市,リフォーム会社,098-800-2680,,,,False,False,B 周年期,True,False,,,4360001027548,代表者名なし / 創業年なし,,indeedhack
A,6,山城内装,浦添市,リフォーム会社,098-975-9522,,,,False,False,B 周年期,True,False,,https://yamashironaisou.com/,5360001031838,代表者名なし / 創業年なし,,ceremony
A,6,株式会社エコ・ピース,沖縄市,リフォーム会社,098-934-2071,,,,False,False,B 周年期,True,False,,https://ecopeace-okinawa.com/service/aircon_sale/,9360001015408,代表者名なし / 創業年なし,,centercall
A,6,株式会社 沖縄不動産販売,那覇市,不動産・建設,098-894-3206,,,,False,False,B 周年期,True,True,info@okinawa-realestate.com,https://www.okinawa-realestate.com/,9360001021835,代表者名なし / 創業年なし,,indeedhack
A,6,㈱不動産ステーション沖縄,那覇市,不動産・建設,098-988-1180,,,,False,False,B 周年期,True,False,,https://www.fs-okinawa.com/,3360001010967,代表者名なし / 創業年なし,,ceremony
A,6,（株）明商事,那覇市,不動産・建設,098-867-7873,金城 明,,,False,False,B 周年期,True,True,,https://goohome.jp/fudousan/realtor/102/,3360001016312,創業年なし,,centercall
A,6,（株）星リフォーム 沖縄,与那原町,リフォーム会社,080-9140-6588,,,,False,False,B 周年期,True,False,,https://www.hoshi-reform.com/,9360001036619,代表者名なし / 創業年なし,,ceremony
A,6,昭和ドア（有）,那覇市,リフォーム会社,098-857-2609,,,,False,False,B 周年期,True,False,,https://showa-dr.com/,3360002002195,代表者名なし / 創業年なし,,centercall
A,6,沖縄塗装工業,那覇市,塗装会社,098-854-1015,,,,False,False,B 周年期,True,False,info@nagaminetosou.com,https://www.nagaminetosou.com/,,法人番号なし / 代表者名なし / 創業年なし,,ceremony
A,6,(有)昭和住建,浦添市,リフォーム会社,098-876-1343,,,,False,False,B 周年期,True,False,,https://www.kensetumap.com/,9360002015984,代表者名なし / 創業年なし,,indeedhack
A,6,有限会社エバ,浦添市,リフォーム会社,098-943-4611,,,,False,False,B 周年期,True,True,info@evah-d.com,http://www.evah-d.com/,9360002018186,代表者名なし / 創業年なし,,centercall
A,6,家づくり相談室 運営会社アーキテクトプラスジョイ （合同会社アーキテクトＰＬＵＳ ＪＯＹ）,那覇市,リフォーム会社,098-943-1751,西平 奨矢,,,False,False,B 周年期,True,True,,https://www.o-architect.co.jp/,6360003012182,創業年なし,,centercall
A,6,有限会社 室内装飾みやぎ,浦添市,リフォーム会社,098-879-4506,,,,False,False,B 周年期,True,False,,https://ssm-okinawa.jp/,4360002015964,代表者名なし / 創業年なし,,ceremony
A,6,VILLA IMG合同会社 (アイエムジー),那覇市,不動産・建設,098-869-3575,,,,False,False,B 周年期,True,True,infovilla@villa-realty.com,https://www.villa-realty.com/,6360003009757,代表者名なし / 創業年なし,,indeedhack
A,6,株式会社クリーンワークスカンパニー,豊見城市,リフォーム会社,080-6491-9965,,,,False,False,B 周年期,True,False,,https://cleanworks.okinawa/,7360001024476,代表者名なし / 創業年なし,,ceremony
A,6,（有）海邦住建,沖縄市,リフォーム会社,098-934-6305,,,,False,False,B 周年期,True,False,,https://kaihoujuken.studio.site/,6360002011549,代表者名なし / 創業年なし,,ceremony
A,6,(有)吉永,那覇市,塗装会社,098-851-7070,,,,False,False,B 周年期,True,False,,http://yoshinaga.okinawa/,6360002009551,代表者名なし / 創業年なし,,indeedhack
A,6,（株）トータルハウスプランニング,那覇市,リフォーム会社,098-894-3004,,,,False,False,B 周年期,True,False,,https://www.totalhouseplanning.co.jp/,1360001017725,代表者名なし / 創業年なし,,ceremony
S,12,(株)IMI CORPORATION,那覇市,リフォーム会社,098-867-1149,池田 雅人,1991,35,True,True,A 承継期,True,False,,https://imi-cp.com/,2360001000011,,既存顧客（LPのCASE03・35周年 制作中）→ 新規アタック対象外,ceremony
S,8,金秀建設株式会社,那覇市,不動産・建設,098-869-1350,山内 昌茂,1947,79,False,True,B 周年期,True,True,,https://kanehide.co.jp/group/#kanehide-steel,8360001000740,,関連会社に取引あり（金秀鉄工）→ 紹介経由で狙う,centercall
