許可番号,区分,商号,代表者,郵便番号,市区町村,所在地,電話番号,資本金(千円),法人/個人,許可業種,特定,許可年月日,推定年数下限,業種分類,中南部
47013313,知事,（株）大盛塗装,稲嶺 大輔,901-1117,島尻郡南風原町,字津嘉山７５３－４,098-889-2715,5000,法人,塗防,,R040920 R050920,8,塗装・防水,1
47011010,知事,大安鉄筋工業,大城 安正,901-0305,糸満市,西崎２－３３－６－２,098-995-2664,,個人,建筋,,R030404,15,建設業（総合）,1
47012882,知事,（株）大屋設備,安里 進,904-0003,沖縄市,住吉２－１－７ コートヴィレッジ住吉１０７号,098-939-0502,5300,法人,土と石管鋼舗し水,,R021214,12,建設業（総合）,1
47013168,知事,（合）大屋土建,大屋 義治,901-0305,糸満市,西崎１－２９－１１ サンシャイン西崎２０１,098-995-1343,5000,法人,土と,,R030915,8,建設業（総合）,1
47010001,知事,（有）大山建設,宮城 正俊,901-2227,宜野湾市,宇地泊３－４－２１,098-898-1234,3000,法人,土大左と石鋼筋舗し内水,,R021225,15,建設業（総合）,1
47011675,知事,（株）大山タタミ店,大山 竜児,901-2203,宜野湾市,野嵩２－１９－１７,098-892-6346,1000,法人,内,,R070118,12,内装工事,1
47013187,知事,（合）オールシステム,上村 勇二,904-2233,うるま市,字豊原５５５－６,098-989-1789,5000,法人,電,,R040417,8,電気・設備工事,1
47013886,知事,（株）オーワイ,大城 幸也,901-2214,宜野湾市,我如古２－２１－１－１０１ サンブライト,098-911-1795,3000,法人,筋,,R070131,5,その他専門工事,1
47015093,知事,大湾工業,大湾 学,904-2205,うるま市,字栄野比９９７－２１,080-1727-3807,,個人,筋,,R060322,0,その他専門工事,1
47012968,知事,（株）岡田建築設計事務所,岡田 五十二,900-0025,那覇市,壷川二－１２－７ ライオンズプラザ壷川９０１,098-833-6313,500,法人,建大屋タ鋼内,,R030513,8,建設業（総合）,1
47000283,知事,（株）オカノ,平良 和彦,900-0003,那覇市,安謝１－２３－８,098-868-4152,42700,法人,土建電管内機通水消,1,R060917,35,建設業（総合）,1
47015070,知事,（株）オカベメンテ,岡部 成行,900-0005,那覇市,天久２－９－１ １階,098-927-9229,5000,法人,土と石鋼舗し水解,,R060301,0,建設業（総合）,1
47014150,知事,（株）岡本通信,岡本 直樹,901-2412,中頭郡中城村,字奥間９２３,098-962-2347,5000,法人,通,,R071002,5,電気・設備工事,1
47006275,知事,オキアス建設（株）,仲間 朝信,903-0124,中頭郡西原町,字呉屋８６,098-945-5211,49500,法人,土と石鋼舗水解,1,R060621,28,建設業（総合）,1
47014742,知事,沖石電気（株）,仲本 奨,901-0156,那覇市,田原４－５－９,090-9789-5468,3000,法人,電管,,R041007,0,電気・設備工事,1
47014401,知事,沖一美建,照屋 一貴,904-0204,中頭郡嘉手納町,字水釜１６２,098-800-2210,,個人,塗防,,R030716,0,塗装・防水,1
47001715,知事,沖インテリヤ,伊佐 盛義,902-0078,那覇市,識名３－１０－１,098-853-3215,,個人,内,,R021030,35,内装工事,1
47000820,知事,（株）沖永開発,末広 良憲,901-2131,浦添市,牧港５－６－３,098-877-6399,40000,法人,土建大と石電管タ鋼舗し塗機水消解,1,R070125,35,建設業（総合）,1
47002789,知事,（株）沖栄建設,儀武 哲明,902-0074,那覇市,字仲井真７７－１２,098-854-3066,70000,法人,土建大左と石屋管タ鋼筋舗し板ガ塗防内絶具水解,1,R030313,35,建設業（総合）,1
47009351,知事,（有）沖海工,名護 綾子,902-0077,那覇市,長田２－３３－４９,098-833-7010,5000,法人,土と石舗し水,,R041222,20,建設業（総合）,1
47007966,知事,沖カンガイ（株）,奥本 桂,901-2113,浦添市,大平２－１８－６,098-879-1148,10000,法人,土と石管舗園水,,R041018,28,建設業（総合）,1
47014646,知事,（株）沖空電,親川 賢次,901-1414,南城市,佐敷字津波古１２３２－１,098-988-9953,3000,法人,電管,,R040603,0,電気・設備工事,1
47007710,知事,沖軽工業,照喜名 勇宏,903-0821,那覇市,首里儀保町４－６６,098-886-1586,,個人,内,,R031205,28,内装工事,1
47002003,知事,沖建（資）,内間 明,905-0228,国頭郡本部町,字伊野波５９８－１,0980-47-5576,40000,法人,土建と石鋼舗し水解,1,R030515,35,建設業（総合）,
47009453,知事,（有）オキケン開発,比嘉 幸夫,903-0804,那覇市,首里石嶺町３－３４７フレア首里１０１,098-835-5100,9500,法人,土と石鋼舗園水,,R030611,20,建設業（総合）,1
47011947,知事,（有）沖研開発,具志堅 弘,901-2211,宜野湾市,宜野湾３－１７－１ １階,098-896-1146,3000,法人,電,,R030603,12,電気・設備工事,1
47007204,知事,（株）沖建住宅,嶺井 政則,903-0804,那覇市,首里石嶺町４－５１－２,098-885-8200,20000,法人,建,,R051117,28,建設業（総合）,1
47009563,知事,（株）興建設,砂川 和広,907-0022,石垣市,字大川５４８,0980-83-0544,40000,法人,土建大左と石屋タ鋼筋舗し板ガ塗防内絶具水解,1,R030521,20,建設業（総合）,
47014430,知事,（株）沖鉱開発,山城 樹,901-0342,糸満市,字糸洲３５１－３,098-997-3434,5000,法人,土と石鋼舗し塗園水,,R030817,0,建設業（総合）,1
47003636,知事,（株）沖工業,上原 重信,904-2171,沖縄市,高原４－２５－７,098-933-3865,70000,法人,土と石管舗し機水消,1,R021201,35,建設業（総合）,1
47011918,知事,沖工業,安里 勉,901-2311,中頭郡北中城村,字喜舎場１３３,090-6777-7700,,個人,と,,R030330,12,その他専門工事,1
47008982,知事,（株）沖興建,島袋 均,901-2227,宜野湾市,宇地泊１－１１－７,098-890-5589,10000,法人,土建大と石屋タ鋼舗し内水,,R030516,20,建設業（総合）,1
47006733,知事,（有）沖工設,古堅 稔,905-0228,国頭郡本部町,字伊野波３５４－４,0980-47-3145,30000,法人,土と石電管鋼舗し塗水解,1,R060606,28,建設業（総合）,
47012973,知事,沖興テクノ（株）,新垣 竹哲,904-0105,中頭郡北谷町,字吉原１２６,098-989-3096,10000,法人,土建大左と石屋管タ鋼筋舗し板ガ塗防内絶園具水解,,R030525,8,建設業（総合）,1
47008811,知事,（株）沖坤,比嘉 卓也,905-2173,名護市,字久志５２１－６,0980-55-2231,30000,法人,土建大と石屋タ鋼舗園水,,R021010,20,建設業（総合）,
47008544,知事,（有）沖産,仲吉 靖,901-2223,宜野湾市,大山６－２８－５,098-898-3883,22000,法人,土建大左と石屋管タ鋼筋舗し板ガ塗防内絶具水解,1,R040725,20,建設業（総合）,1
47008696,知事,（株）おきさん,富永 進,904-0202,中頭郡嘉手納町,字屋良１０２２,098-956-2288,97730,法人,電管消,1,R061016,20,電気・設備工事,1
47014208,知事,（株）沖産業,花城 えり子,901-2221,宜野湾市,伊佐２－１－１,098-898-2191,10000,法人,建大と屋電タ内,,R021127,5,建設業（総合）,1
47007301,知事,（株）オキジツ船場,宮里 亮,902-0067,那覇市,安里１－８－９ペイサージュ崇元寺２Ｆ,098-867-1008,20000,法人,内,1,R060614,28,内装工事,1
47006689,知事,（有）沖島建設,島袋 朗,901-0618,南城市,玉城字船越５－８,098-949-7155,15000,法人,土と石鋼舗し水,,R031015,28,建設業（総合）,1
47009106,知事,（有）沖島電機,真栄田 一郎,901-1101,島尻郡南風原町,字大名３２７－２,098-888-3779,5000,法人,電機,,R031029 R070818,20,電気・設備工事,1
47008239,知事,（株）沖島電設,島袋 昇,904-2163,沖縄市,大里１－１３－６８,098-983-4690,5000,法人,電,,R030801,20,電気・設備工事,1
47008665,知事,（株）オキジム,新里 哲郎,901-2134,浦添市,字港川４５８,098-878-7878,43050,法人,土建大左と石屋電タ鋼筋舗し板ガ塗防内絶通具水,1,R060707 R070722,20,建設業（総合）,1
47007593,知事,（有）沖住設,福嶺 博安,902-0061,那覇市,古島２－７－１４,098-882-2033,5000,法人,土建と水,,R030807,28,建設業（総合）,1
47012801,知事,沖床,伊佐 尚,903-0814,那覇市,首里崎山町３－６０,090-8839-7490,,個人,内,,R050522,12,内装工事,1
47013336,知事,（株）沖翔,大城 哲也,901-2424,中頭郡中城村,字南上原５６１－４、３０５,098-975-7981,2000,法人,土と石鋼舗し水,,R030315,8,建設業（総合）,1
47001075,知事,（有）沖翔建設,下地 勝彦,906-0013,宮古島市,平良字下里１４２０－２,0980-72-3518,30000,法人,土建と石舗水,,R040629,35,建設業（総合）,
47010226,知事,（有）沖昇トラスト,前川 守次,903-0116,中頭郡西原町,字幸地６６１－４,098-946-1800,5000,法人,機,,R031213,15,電気・設備工事,1
47015262,知事,沖城左官,大城 強,902-0063,那覇市,三原３－１－１５－２Ｆ,098-851-8231,,個人,左,,R061227,0,その他専門工事,1
47014705,知事,（株）沖城ポンプ,大城 充,901-1204,南城市,大里字稲嶺２７６９－４,098-943-4941,5000,法人,管消,,R040819 R070115,0,電気・設備工事,1
47014695,知事,（株）ＯＫＩＳＨＩＮ,小橋川 翼,901-1303,島尻郡与那原町,字与那原３３０１－１ ＯＫＩＳＨＩＮビル２Ｆ,098-917-0252,1000,法人,建大左と石屋タ鋼筋板ガ塗防内絶具解,,R040729,0,建設業（総合）,1
47015018,知事,（株）沖神,兼次 信安,904-2142,沖縄市,字登川２６９５ １－５,098-937-9601,5000,法人,土大左と石屋タ鋼舗し板ガ塗防内絶具水,,R051201,0,建設業（総合）,1
47015288,知事,（株）沖神,島尻 範優,905-0019,名護市,大北３－１８－７ オアシス名護８１３号室,0980-52-3576,5000,法人,塗防,,R070207,0,塗装・防水,
47014614,知事,沖信開発（株）,池宮城 武哉,904-2142,沖縄市,字登川２８０８,098-937-4200,40500,法人,土建と石鋼舗し塗水,,R040415,0,建設業（総合）,1
47014143,知事,（株）沖伸建設,渡慶次 真二,901-2114,浦添市,安波茶１－２４－１,098-879-5498,43000,法人,土と石鋼舗し塗水,1,R070918,5,建設業（総合）,1
47015063,知事,（株）沖新工業,新垣 司,904-0322,中頭郡読谷村,字波平５１３－２・２Ｆ,098-958-1797,500,法人,と,,R060216,0,その他専門工事,1
47013791,知事,（株）沖伸総業,伊波 恒治,904-2244,うるま市,字江洲１３６４,098-923-2259,3000,法人,建と石鋼塗防,,R030401,5,建設業（総合）,1
47015114,知事,（株）沖新総業,新納 義博,900-0036,那覇市,西２－１３－１７,098-800-1802,5000,法人,土建と石鋼舗し水,,R060502,0,建設業（総合）,1
47008195,知事,沖新電工,大城 安利,901-0416,島尻郡八重瀬町,字宜次６６９－１,098-998-2381,,個人,電,,R030201,20,電気・設備工事,1
47014586,知事,（株）沖真電設,伊敷 文男,901-0361,糸満市,字糸満１９５１Ｄ－ＢＯＸ、Ｂ棟,098-851-3244,5000,法人,土建と石電鋼舗し塗水,,R040325,0,建設業（総合）,1
47011984,知事,（有）沖信塗装工業,神谷 将太,901-2111,浦添市,経塚１－５－１３,098-878-8303,10000,法人,大左石屋タ板ガ塗防内絶具,,R030822,12,塗装・防水,1
47004713,知事,（有）沖水,西里 剛,904-2245,うるま市,字赤道６０－１,098-974-5766,20000,法人,土と石管鋼舗し水,1,R070401,35,建設業（総合）,1
47011303,知事,沖水化成（株）,仲里 伸二郎,904-2162,沖縄市,海邦町３－１４,098-982-1371,24095,法人,と,,R041212,12,その他専門工事,1
47013848,知事,（株）沖成,仲宗根 出,904-2142,沖縄市,字登川３０４４,098-989-9390,3000,法人,と,,R061206,5,その他専門工事,1
47014529,知事,沖成（株）,福山 智香,906-0103,宮古島市,城辺字福里８４９－２,080-1770-1717,10000,法人,土と石鋼舗し水,,R031210,0,建設業（総合）,
47009752,知事,（株）オキセイ産業,瀬長 司,901-2133,浦添市,城間３－６－１０,098-876-3098,45000,法人,と解,,R061124,20,その他専門工事,1
47014108,知事,（株）沖成断熱,我喜屋 徹,904-0035,沖縄市,南桃原４－３２－５,098-987-8130,5000,法人,絶,,R070828,5,その他専門工事,1
47009961,知事,（有）沖設エンジニア,玉城 浩,901-0153,那覇市,宇栄原６－１２－３６,098-996-1448,3000,法人,土と石管舗水消,,R071020,20,建設業（総合）,1
47012525,知事,（株）沖設備商会,翁長 善樹,901-1115,島尻郡南風原町,字山川４３２,098-888-1856,10000,法人,電,,R060617,12,電気・設備工事,1
47006347,知事,（有）沖潜,伊芸 丞,904-2201,うるま市,字昆布１３６４－１,098-989-7488,3000,法人,土と石舗水,,R070726,28,建設業（総合）,1
47011921,知事,（株）沖創建設,我如古 正伸,900-0004,那覇市,字銘苅１８０－７,098-862-1498,35000,法人,土建大と鋼舗し塗防内水,1,R030325,12,建設業（総合）,1
000027001,大臣,（株）沖創工,伊佐 一,902-0077,那覇市,長田２－５－４,098-832-1421,30000,法人,土と石電鋼舗塗通水,1,R070622,,建設業（総合）,1
47015071,知事,（株）沖創生,那根 一暉,901-2112,浦添市,字沢岻１３８６,098-800-1012,5000,法人,塗,,R060222,0,塗装・防水,1
47008795,知事,（有）沖送電,長濱 喜作,904-0034,沖縄市,山内３－２－２,098-930-0481,4000,法人,土と石電鋼舗し塗通水,,R061015,20,建設業（総合）,1
47013223,知事,（株）沖大工業,萩元 日出也,904-2201,うるま市,字昆布７９４－２,090-1511-3564,1000,法人,と,,R040613,8,その他専門工事,1
47008844,知事,（株）沖拓建設,嶺井 政則,903-0804,那覇市,首里石嶺町４－５１－２、２階,098-917-2656,10000,法人,建,,R070927,20,建設業（総合）,1
47005685,知事,（株）オキチク商事,仲里 信英,901-1117,島尻郡南風原町,字津嘉山８３３－１,098-889-0831,15250,法人,建大屋タ内,,R030814,35,建設業（総合）,1
47013349,知事,沖築炉,米須 清哲,905-0205,国頭郡本部町,字山川１４４７,0980-48-4605,,個人,タ,,R041101,8,その他専門工事,
47010860,知事,（有）沖忠建設,崎山 喜忠,902-0078,那覇市,字識名１０９８－１－１階,098-831-5665,4000,法人,建内,,R070727,15,建設業（総合）,1
47011054,知事,（有）オキツウ,奥平 博明,902-0072,那覇市,字真地３１７－７,098-835-3373,8000,法人,管,,R030609,15,電気・設備工事,1
47012217,知事,（株）沖通商,奥濱 哲夫,900-0003,那覇市,字安謝６１９－１６,098-866-4040,30000,法人,建と電管筋板塗内,,R050116,12,建設業（総合）,1
47007725,知事,（有）沖鐵,山内 昌也,903-0103,中頭郡西原町,字小那覇１４８７－１,098-946-6758,10000,法人,鋼,,R031226,28,その他専門工事,1
47012064,知事,沖鉄,名嘉 堅悟,903-0806,那覇市,首里汀良町３－９４名幸ビル３０５,090-3487-4325,,個人,筋,,R040319,12,その他専門工事,1
47010432,知事,（有）沖テック,大宜見 朝昭,901-2132,浦添市,伊祖１－２１－１,098-877-4066,3000,法人,土建と石電管舗水消,,R050109,15,建設業（総合）,1
47013780,知事,（有）オキテレホンシステム,知念 透,900-0027,那覇市,山下町２８－３３－１Ｆ,098-859-4333,5500,法人,通,,R060917,5,電気・設備工事,1
47007284,知事,沖電開発（株）,屋宜 誠,901-2131,浦添市,牧港４－１１－３,098-875-4444,50000,法人,土建大左と石屋電管タ鋼筋舗し板ガ塗防内絶園具水解,1,R030615,28,建設業（総合）,1
47004543,知事,沖電企業（株）,仲宗根 斉,901-2131,浦添市,牧港４－６－１１,098-876-0270,43450,法人,土建大左と石屋電管タ鋼筋舗し板ガ塗防内機絶園具水消解,1,R040817,35,建設業（総合）,1
47000380,知事,（株）沖電工,島袋 清人,900-0025,那覇市,壺川２－１１－１１,098-835-9895,130143,法人,土建大と石屋電管タ鋼舗塗内機通水消解,1,R070401,35,建設業（総合）,1
47011496,知事,（株）沖電子,冝保 長門,900-0001,那覇市,港町２－１６－７,098-860-3839,20000,法人,電通,,R060303,12,電気・設備工事,1
47005913,知事,（株）沖電システム,中村 博哲,901-2101,浦添市,西原３－１８－６,098-874-3600,30000,法人,電機通,1,R070315,35,電気・設備工事,1
47012320,知事,（有）沖電社,平田 晃,901-1406,南城市,佐敷字屋比久２１５,098-947-6003,3000,法人,土と石電鋼舗水,,R050712,12,建設業（総合）,1
47000117,知事,沖電水工事（株）,當山 雅治,900-0016,那覇市,前島２－１－１０,098-967-6311,70000,法人,電通消,1,R070509,35,電気・設備工事,1
47006298,知事,（有）沖電モートル,米城 誠司,904-2143,沖縄市,知花６－３０－１７,098-989-3681,5000,法人,電機,,R031019,28,電気・設備工事,1
47014720,知事,荻堂建設（株）,荻堂 盛直,904-2225,うるま市,字喜屋武６４６－５,098-973-1844,3000,法人,土建大左と石屋タ鋼筋舗し板ガ塗防内絶具水,,R040902,0,建設業（総合）,1
47012904,知事,荻堂重機（株）,荻堂 盛智,903-0121,中頭郡西原町,字内間６１２－１,098-882-8246,5000,法人,土と石鋼舗し塗水,,R030202,8,建設業（総合）,1
47014362,知事,（株）沖動薬,金城 真光,901-0201,豊見城市,字真玉橋１７９－１,098-850-8200,2000,法人,建,,R030618,5,建設業（総合）,1
47014741,知事,（株）オキトーシン,東 博之,904-2171,沖縄市,高原２－８－４３ 高原ハウス１Ｆ,090-9783-1312,1000,法人,大左石屋管タ板ガ塗防内絶具,,R040930,0,電気・設備工事,1
47006407,知事,（有）沖塗工業,比嘉 章博,900-0015,那覇市,久茂地２－１０－２０－５０２号,098-988-1707,5000,法人,土大左と石屋タ鋼舗し板ガ塗防内絶具水,,R071002,28,建設業（総合）,1
47013901,知事,（株）沖土木,洲鎌 広和,901-0241,豊見城市,字豊見城５１７－１,098-987-7955,10000,法人,土と石鋼舗し水解,,R070228,5,建設業（総合）,1
47013308,知事,（株）オキナカ,比嘉 淳二,904-0032,沖縄市,諸見里１－３０－１６,098-933-6772,3000,法人,内,,R040912,8,内装工事,1
47008661,知事,（有）翁建設,翁長 大輔,901-0203,豊見城市,長堂３８８－１,098-987-1377,3000,法人,建大左と石屋タ鋼筋板ガ塗防内絶具解,,R060521,20,建設業（総合）,1
47011565,知事,（資）沖縄アルミ,玉城 豊久,901-2134,浦添市,港川２－１１－９,098-877-8790,10000,法人,具,,R060715,12,その他専門工事,1
47015009,知事,（株）Ｏｋｉｎａｗａ ＥＩＺＥＮ,白石 六朗,901-0152,那覇市,小禄１５０４－１４,098-987-4150,10000,法人,建大左と石屋電タ鋼筋板ガ塗防内絶具,,R051110 R060904,0,建設業（総合）,1
47000701,知事,（株）沖縄エジソン,安次嶺 之治,902-0072,那覇市,字真地３６９,098-854-5181,26856,法人,電通,,R070206,35,電気・設備工事,1
47010789,知事,（有）沖縄エル・アンド・シー,上地 正則,901-2103,浦添市,仲間１－１１－１１,098-877-8388,6000,法人,電,,R070317,15,電気・設備工事,1
47013248,知事,沖縄エレベーター工業（株）,渡久地 宇宙,900-0001,那覇市,港町２－１５－２６,098-866-6623,8000,法人,機,,R040712,8,電気・設備工事,1
47015053,知事,ＯＫＩＮＡＷＡ ｅｎｇｉｎｅｅｒ,仲程 龍仁,901-2215,宜野湾市,真栄原３－３０－１７,080-6492-7167,,個人,電,,R060126,0,電気・設備工事,1
47010678,知事,（有）沖縄エンジニアプランニング,又吉 朝栄,900-0031,那覇市,若狭３－３－９,098-866-0440,3000,法人,建大と屋電鋼塗防内具,,R060609,15,建設業（総合）,1
47005033,知事,（株）沖縄エンジニアリング,島袋 陽,903-0804,那覇市,首里石嶺町４－１９７,098-885-3523,10000,法人,消,,R040814,35,電気・設備工事,1
47008410,知事,（株）沖縄エンジニヤ,仲本 賢一郎,901-2203,宜野湾市,野嵩２－１－１,098-892-0100,28000,法人,電管機通,1,R061122,20,電気・設備工事,1
47003511,知事,沖縄オートメーション（株）,宮里 佳孝,905-0021,名護市,東江５－１３－１７,0980-52-1528,30000,法人,電機通,1,R040724,35,電気・設備工事,
47015195,知事,（株）おきなわＡＬＬ,東 大悟,903-0118,中頭郡西原町,字小波津６０２番地,098-988-4517,1000,法人,土と舗通,,R060906,0,建設業（総合）,1
47012011,知事,（株）沖縄ガーデン,比嘉 太地,900-2174,沖縄市,与儀２－１－１,098-932-1600,5000,法人,土と石鋼舗し園水,,R070904,12,建設業（総合）,1
47013534,知事,沖縄海運産業（株）,＊泉 宏康,904-2428,うるま市,与那城平宮１,098-977-7733,30000,法人,と,1,R050816,8,その他専門工事,1
47006720,知事,（株）沖縄開発工業,山城 大樹,903-0103,中頭郡西原町,字小那覇１０４６,098-945-1725,48800,法人,土建大と石屋管タ鋼舗し塗内水,,R030405,28,建設業（総合）,1
47014600,知事,沖縄海洋資源開発（株）,中町 匡志,900-0033,那覇市,久米２－３２－１４ ＬＭ久米１０１,098-917-6491,10000,法人,土と石鋼舗し水,,R040610,0,建設業（総合）,1
47002172,知事,（株）沖縄科学ＡＶセンター,古謝 靖,901-2122,浦添市,勢理客１－２－２９,098-875-3211,21000,法人,電管機通消,1,R060117,35,電気・設備工事,1
47005557,知事,沖縄化学産業（株）,島袋 宗佳,900-0002,那覇市,曙２－２６－３６,098-863-0451,25010,法人,管機,,R030308,35,電気・設備工事,1
47007879,知事,沖縄ガス（株）,湧川 直明,900-8605,那覇市,西３－１３－２,098-863-7730,250222,法人,土と石電管鋼舗水,,R040423,28,建設業（総合）,1
47002635,知事,（株）沖縄ガス圧接,林 仁志,901-0211,豊見城市,字饒波５１ チャームドコート１０２号室,098-996-3963,5000,法人,筋,,R070720,35,その他専門工事,1
47008311,知事,沖縄ガスリビング（株）,諸喜田 浩,900-0036,那覇市,西３－１３－２,098-867-4101,50000,法人,土建と石管鋼舗塗水消解,1,R030511 R040523,20,建設業（総合）,1
47006618,知事,（株）沖縄仮設,幸喜 忠,901-2406,中頭郡中城村,字当間７４９,098-895-2411,19100,法人,と,,R030713,28,その他専門工事,1
47012571,知事,（株）沖縄環境,饒辺 和彦,903-0804,那覇市,首里石嶺町３－１３０－１,098-885-1200,5000,法人,土建大左と石屋管タ鋼筋舗し板ガ塗防内絶具水,,R060901,12,建設業（総合）,1
47013882,知事,（株）沖縄環境開発センター,照屋 格,905-0206,国頭郡本部町,字石川９１１,0980-51-7067,33000,法人,建大屋電管タ内消,,R070124,5,建設業（総合）,
47005109,知事,沖縄環境企画（株）,大城 安世,902-0074,那覇市,字仲井真１０７,098-831-9939,28000,法人,土と石電管鋼舗し機水消,1,R030608,35,建設業（総合）,1
47010848,知事,沖縄環境建設,阿波連 正良,904-0013,沖縄市,室川２－１７－３,098-894-7991,,個人,土と石鋼舗し塗防水,,R070705,15,建設業（総合）,1
47014649,知事,沖縄環境緑化（株）,泉川 良誠,901-0225,豊見城市,字豊崎１－１１４５ソフィア豊崎１０１号室,098-851-3790,12300,法人,土と石鋼舗し園水,,R040610,0,建設業（総合）,1
47009622,知事,（株）沖縄機械整備,渡眞利 敏,901-0306,糸満市,西崎町４－８,098-992-5055,10000,法人,電機,,R060419,20,電気・設備工事,1
47007489,知事,（株）オキナワ技研,伊是名 利男,901-2402,中頭郡中城村,字泊４５９－１,098-895-7733,40600,法人,土大左と石屋タ鋼舗し板ガ塗防内絶具水,,R060624,28,建設業（総合）,1
47014530,知事,（有）沖縄機工,大城 聡,904-2151,沖縄市,松本５－１９－２６,098-938-2889,3000,法人,土建と石電鋼舗し水解,,R031210 R040802,0,建設業（総合）,1
47014984,知事,（有）沖縄基礎開発,狩俣 安志,900-0002,那覇市,曙２－４－６,098-943-6628,7000,法人,土と石鋼舗し水,,R051006,0,建設業（総合）,1
47014414,知事,沖縄キヤノンメディカルシステムズ（株）,中村 正志,900-0036,那覇市,西１－１９－９,098-868-7212,10000,法人,電内,,R030726,0,電気・設備工事,1
47005471,知事,（株）沖縄共聴設備,金城 今日子,903-0825,那覇市,首里山川町２－６１－１８,098-884-5008,10000,法人,電通消,,R030329,35,電気・設備工事,1
47011630,知事,沖縄協同ガス（株）,玉城 敏明,901-0417,島尻郡八重瀬町,字外間１１５－１,098-998-3000,100000,法人,管,,R061102,12,電気・設備工事,1
47013651,知事,沖縄杭打ちサービス,下里 敏博,901-0152,那覇市,字小禄２５４,098-857-3752,,個人,土と石鋼舗水,,R060329,8,建設業（総合）,1
47014303,知事,沖縄クオテックス（株）,石川 昂輝,904-1113,うるま市,石川山城７５３－１、２Ｆ,098-955-6704,3000,法人,管,,R030409,5,電気・設備工事,1
47009441,知事,（株）沖縄クリーン工業,前田 裕樹,900-0015,那覇市,久茂地３－１６－８,098-951-0370,20000,法人,土建大左と石屋管タ鋼筋舗し板ガ塗防内絶具水,1,R030625,20,建設業（総合）,1
47006762,知事,（株）沖縄グリーンメンテナンス,比嘉 秀明,901-2201,宜野湾市,新城２－３２－１１,098-893-0269,10000,法人,土と石舗園水,,R031216,28,建設業（総合）,1
47015210,知事,（株）オキナワクリーンラボ,上原 桂吾,902-0077,那覇市,長田２－１－７－Ｂ１０１ ＣＯＣＯＨＯＵＳＥ,098-927-3132,300,法人,大左石屋タ板ガ塗防内絶具,,R060920,0,塗装・防水,1
47008299,知事,（株）沖縄計装,洲鎌 敏,900-0012,那覇市,泊３－５－７,098-995-6772,20000,法人,電管通,1,R070301,20,電気・設備工事,1
47006925,知事,（株）沖縄計装工事,安里 康伸,901-2101,浦添市,西原５－４５－１,098-874-5620,20000,法人,土と石電鋼舗し水,1,R050526,28,建設業（総合）,1
47013392,知事,沖縄ケーブルネットワーク（株）,風間 正二郎,900-0015,那覇市,久茂地１－２－２０,098-863-1115,10000,法人,通,,R050115,8,電気・設備工事,1
47014345,知事,沖縄県維持管理・修繕工事事業（同）,小禄 茂德,900-0025,那覇市,壷川１－１－１５,098-851-7137,11200,法人,土建と石電鋼舗し水解,,R030528,5,建設業（総合）,1
47010399,知事,沖縄県エレベーター保守事業（同）,渡久地 正堅,900-0002,那覇市,曙２－２４－１３ 曙沖商ビル７－Ｄ,098-868-1698,4000,法人,機,,R041120,15,電気・設備工事,1
47005007,知事,沖縄県建設事業（同）,玉城 常二,901-2131,浦添市,牧港５－１９－１,098-878-1810,144060,法人,筋,,R040731,35,その他専門工事,1
47010489,知事,（株）沖縄建材,菊池 隆,900-0015,那覇市,久茂地３－２１－１,098-877-2711,50000,法人,土建大左と石屋タ鋼舗し板ガ塗防内絶具水解,1,R070711,15,建設業（総合）,1
47008800,知事,沖縄県石材事業（同）,武村 茂,902-0073,那覇市,字上間４８５－１,098-834-9301,5400,法人,土と石鋼舗水,,R050430,20,建設業（総合）,1
47015361,知事,沖縄建設Ｎｅｏ（株）,久場 良太郎,904-1101,うるま市,石川東山本町２－６－１２－１Ｆ,098-989-5728,5000,法人,土と石管鋼舗し塗水解,,R070530,0,建設業（総合）,1
47008325,知事,沖縄建装（株）,東 直樹,901-2122,浦添市,勢理客４－１６－１０,098-879-5363,20000,法人,建大屋タ内,1,R070126,20,建設業（総合）,1
47007628,知事,（有）沖縄建装工業,向井 芳治,903-0804,那覇市,首里石嶺町２－２４８－５,098-887-6110,25000,法人,土建と石鋼舗塗防内具水解,1,R070110,28,建設業（総合）,1
47011464,知事,沖縄県琉球赤瓦漆喰施工（同）,田端 忠,901-0416,島尻郡八重瀬町,字宜次６９５－４,098-998-0893,19120,法人,屋,,R051216,12,その他専門工事,1
47012165,知事,（株）沖縄公栄社,中村 一貴,900-0004,那覇市,銘苅３－２０－１５レオパレスシーサー館１０３,098-860-3731,5000,法人,土と石鋼舗し水,,R041001,12,建設業（総合）,1
47005134,知事,（株）沖縄工業,棚原 博,902-0072,那覇市,字真地１９７－７,098-853-6507,20000,法人,土と石管舗機水消,1,R041120,35,建設業（総合）,1
47012450,知事,沖縄工業検査（株）,糸滿 盛史,904-2426,うるま市,与那城平安座８１４８－１,098-977-8309,20000,法人,土と石電鋼舗し水消,,R060303,12,建設業（総合）,1
47013794,知事,沖縄皇建海發（株）,王 剛,901-2203,宜野湾市,野嵩１－１０－８ めぐみ荘１０２,098-943-8255,5000,法人,土と石電鋼舗し塗通水解,,R061007 R070319,5,建設業（総合）,1
47005260,知事,（株）沖縄工設,大嶺 健一郎,901-2111,浦添市,字経塚６３３,098-877-0504,32250,法人,土建大と石屋電管タ鋼舗し塗内機水解,1,R040523,35,建設業（総合）,1
